B2,B3,B4,B5,B6,B7,class
0.1156280,0.1449220,0.1807470,0.2199960,0.2513710,0.2257380,CBS LC
0.1156510,0.1455890,0.1810570,0.2212350,0.2543720,0.2284770,CBS LC
0.1138890,0.1434690,0.1775555,0.2161620,0.2467270,0.2210700,CBS LC
0.1136510,0.1427780,0.1775790,0.2168290,0.2460120,0.2213560,CBS LC
0.1078390,0.1347520,0.1682190,0.2077305,0.2370330,0.2152350,CBS LC
0.1058150,0.1326085,0.1646700,0.2047770,0.2394380,0.2158300,CBS LC
0.1053625,0.1346090,0.1683620,0.2116840,0.2498470,0.2259290,CBS LC
0.1057440,0.1331090,0.1663850,0.2131610,0.2530385,0.2276200,CBS LC
0.1182240,0.1531620,0.1945370,0.2461480,0.2845260,0.2512470,CBS LC
0.1174610,0.1522570,0.1903450,0.2417180,0.2826200,0.2494370,CBS LC
0.0910962,0.1086250,0.1340410,0.1789350,0.2134050,0.1914650,CBS LO
0.0835225,0.0978837,0.1201790,0.1627400,0.2011150,0.1796280,CBS LO
0.0745197,0.0819980,0.0981006,0.1374700,0.1734390,0.1540000,CBS LO
0.0703518,0.0776633,0.0924797,0.1297290,0.1686990,0.1483080,CBS LO
0.0817600,0.0918105,0.1106290,0.1610730,0.2113330,0.1904170,CBS LO
0.0848086,0.0968358,0.1174640,0.1685040,0.2163830,0.1935850,CBS LO
0.0775207,0.0886667,0.1066510,0.1514980,0.1986860,0.1807950,CBS LO
0.0753533,0.0837366,0.1001250,0.1418280,0.1853480,0.1684340,CBS LO
0.0696849,0.0769726,0.0911697,0.1320160,0.1798700,0.1614790,CBS LO
0.0682321,0.0746386,0.0884069,0.1270620,0.1583860,0.1398050,CBS LO
0.0719237,0.0787351,0.0950043,0.1328250,0.1675080,0.1468310,CBS R
0.0690895,0.0739003,0.0875733,0.1244890,0.1608390,0.1413290,CBS R
0.0673747,0.0736145,0.0878591,0.1268710,0.1658890,0.1440680,CBS R
0.0675176,0.0728762,0.0861204,0.1233700,0.1605530,0.1405430,CBS R
0.0659933,0.0704945,0.0829051,0.1196540,0.1558140,0.1362560,CBS R
0.0657313,0.0700182,0.0832385,0.1200360,0.1571000,0.1365180,CBS R
0.0660648,0.0712090,0.0853345,0.1222270,0.1591480,0.1380900,CBS R
0.0665887,0.0700182,0.0831195,0.1193450,0.1536460,0.1332790,CBS R
