"","B2","B3","B4","B5","B6","B7","class"
"40",0.0665887,0.0725904,0.0864301,0.12749,0.164364,0.146141,"CBS LO"
"17",0.116747,0.146375,0.182676,0.221949,0.25018,0.2236425,"ARENA"
"58",0.0624446,0.0653501,0.0776414,0.118035,0.145977,0.126539,"CBS R"
"86",0.0641832,0.0687321,0.084215,0.129205,0.184347,0.149642,"CBS R VEG"
"61",0.0617777,0.0641354,0.0755455,0.108151,0.141094,0.121037,"CBS R"
"42",0.0639689,0.0679699,0.0801184,0.115248,0.146763,0.127873,"CBS R"
"39",0.0693515,0.075758,0.0906934,0.134683,0.177583,0.157668,"CBS LO"
"67",0.0654455,0.0700658,0.085001,0.129658,0.187182,0.155525,"CBS R MO"
"98",0.0526797,0.0573953,0.0736401,0.150307,0.218812,0.156334,"VEGETACION"
"65",0.0604678,0.0625635,0.0749739,0.11451,0.163197,0.136614,"CBS R MO"
"10",0.121105,0.151257,0.188583,0.230666,0.257302,0.225167,"ARENA"
"69",0.0538706,0.0540609,0.0646848,0.0970281,0.135735,0.112129,"CBS R MO"
"5",0.120915,0.153472,0.192775,0.234811,0.268615,0.237671,"ARENA"
"14",0.116985,0.147232,0.182557,0.222997,0.251657,0.224905,"ARENA"
"52",0.0588245,0.0605153,0.0715918,0.109818,0.151193,0.126801,"CBS R"
"84",0.0648263,0.0687321,0.0846199,0.129443,0.186253,0.153333,"CBS R VEG"
"4",0.119772,0.153162,0.191274,0.234596,0.267377,0.236242,"ARENA"
"89",0.0660886,0.0710423,0.0879306,0.13697,0.200448,0.162098,"CBS R VEG"
"87",0.0640165,0.068089,0.0837149,0.129729,0.188277,0.151881,"CBS R VEG"
"68",0.0662077,0.0708994,0.0864062,0.132849,0.191159,0.159145,"CBS R MO"
"43",0.0661839,0.0712804,0.0849772,0.12206,0.15991,0.1394,"CBS R"
"31",0.09867,0.123272,0.153952,0.20099,0.237485,0.2141155,"CBS LO"
"95",0.0486309,0.0552518,0.0693053,0.151522,0.18249,0.129826,"VEGETACION"
"79",0.0647548,0.0692084,0.0846199,0.130063,0.187753,0.157501,"CBS R VEG"
"46",0.06304,0.0664218,0.0794754,0.118059,0.155242,0.132612,"CBS R"
"83",0.0625399,0.0649452,0.0793325,0.12437,0.18168,0.151309,"CBS R VEG"
"82",0.0628257,0.0664218,0.0806901,0.125371,0.18399,0.152524,"CBS R VEG"
"7",0.123058,0.156211,0.19499,0.237883,0.276094,0.24646,"ARENA"
"47",0.0620636,0.0662075,0.078999,0.117535,0.155575,0.13347,"CBS R"
"36",0.0792593,0.0892383,0.107199,0.148235,0.186253,0.165218,"CBS LO"
"3",0.131466,0.169429,0.212877,0.263868,0.305486,0.269991,"ARENA"
"76",0.0550138,0.0553947,0.0663758,0.0995527,0.14238,0.118084,"CBS R MO"
"77",0.0563951,0.0571095,0.068305,0.101482,0.147049,0.123562,"CBS R MO"
"70",0.0549661,0.0547278,0.065304,0.0987906,0.141999,0.116178,"CBS R MO"
"35",0.0809741,0.0931918,0.112224,0.153356,0.191945,0.170982,"CBS LO"
"101",0.0483927,0.0529416,0.0684003,0.137065,0.213096,0.155477,"VEGETACION"
"21",0.116175,0.146136,0.181247,0.222997,0.255611,0.229811,"CBS LC"
"97",0.0514889,0.0576811,0.072092,0.162168,0.203545,0.142044,"VEGETACION"
"6",0.120248,0.153782,0.191346,0.232739,0.269449,0.23991,"ARENA"
"2",0.144946,0.18572,0.231216,0.282112,0.319229,0.280804,"ARENA"
"19",0.115389,0.144422,0.179675,0.218448,0.248489,0.222904,"ARENA"
"81",0.063302,0.0667076,0.080833,0.126728,0.184609,0.153834,"CBS R VEG"
"100",0.0515603,0.0556328,0.0719252,0.143067,0.216526,0.158692,"VEGETACION"
"44",0.0652074,0.0703992,0.0841198,0.120845,0.157767,0.136256,"CBS R"
"60",0.0627781,0.0663742,0.0791181,0.117987,0.148073,0.125562,"CBS R"
"45",0.0637307,0.0679937,0.0816904,0.119654,0.156671,0.134684,"CBS R"
"23",0.115294,0.145874,0.180985,0.221497,0.256611,0.230383,"CBS LC"
"26",0.111674,0.140087,0.174078,0.214066,0.243202,0.219474,"CBS LC"
"51",0.0601106,0.0629684,0.0757837,0.113795,0.155885,0.131493,"CBS R"
"63",0.0593484,0.0616347,0.0734496,0.108175,0.148716,0.127039,"CBS R"
"94",0.054204,0.0596579,0.0754741,0.1629065,0.206522,0.145045,"VEGETACION"
"99",0.0533942,0.0588481,0.0771413,0.147044,0.226053,0.165052,"VEGETACION"
"75",0.0550376,0.0557281,0.06609,0.0986715,0.141523,0.117464,"CBS R MO"
"1",0.139159,0.180409,0.22581,0.275657,0.3095585,0.272016,"ARENA"
"38",0.0703756,0.0744481,0.0884545,0.127776,0.171819,0.157859,"CBS LO"
